min_p_cent,max_p_grad,max_radius,max_uv,fraction_of_time_in_GLR,maturity_glr0_minus_genesis_ratio,sup_ttl_precip,mi_ttl_precip,huron_ttl_precip,erie_ttl_precip,ont_ttl_precip,sup_ttl_evap_anom,mi_ttl_evap_anom,huron_ttl_evap_anom,erie_ttl_evap_anom,ont_ttl_evap_anom,lat_gen,lon_gen,year,month,season,amo_unsmoothed_value,ao_value,ea_wr_value,enso_best_value,ipo_value,nao_value,pdo_value,pna_value,pol_value,qbo_value,wp_value,raw_cluster,k2_posterior,k2_cluster,storm_type
1001.934202,15.88699104,724.0280339,101.1371302,0.3,0.0,0.012382824,0.006374615,0.002304092,0.016255517,0.013143173,-9.85e-05,0.000396677,0.00053369,0.00281867,0.000255849,49.59659711,-88.86397196,1950,5,MAM,0.036215729,0.406038334,1.174936736,-1.139572351,-1.360119114,-0.281055777,-1.607442437,-0.102066385,0.359215301,-2.250939,0.11510816,1,0.9938542676715162,1,Type 1 (Earlier-entry storms)
996.2525407,13.37600217,882.6457083,81.64282606,0.222222222,0.777777778,0.013398478,0.008822779,0.017102731,0.010327022,0.002572031,0.001940324,0.002271528,0.002866564,0.005892877,0.002196361,50.26728816,-112.5057048,1950,5,MAM,0.036215729,0.406038334,1.174936736,-1.139572351,-1.360119114,-0.281055777,-1.607442437,-0.102066385,0.359215301,-2.250939,0.11510816,0,0.9999999992440021,2,Type 2 (Later-entry storms)
972.1433176,33.23417161,1379.382958,144.4739186,0.208333333,0.0,0.034903069,0.010279872,0.002937408,0.006544854,0.003591615,0.001587686,0.002672973,0.00117484,0.00178765,-0.000189049,44.11930855,-94.75169761,1950,5,MAM,0.036215729,0.406038334,1.174936736,-1.139572351,-1.360119114,-0.281055777,-1.607442437,-0.102066385,0.359215301,-2.250939,0.11510816,1,0.999760179250599,1,Type 1 (Earlier-entry storms)
974.5813255,26.26813147,1104.591138,128.3509945,0.0,0.186046512,0.015858571,0.002240067,0.006687019,0.023409813,0.008098331,0.001201081,0.003110797,0.0022007,0.000878988,0.001927893,40.69861096,-103.1558426,1950,6,JJA,0.052011901,0.872492305,1.035456457,-1.609909779,-0.95539123,0.468588934,-1.148817081,-1.692525396,0.4596547,-2.772097848,1.195366367,1,0.9993244234394171,1,Type 1 (Earlier-entry storms)
990.4885964,11.17016023,333.4809087,108.412744,0.166666667,0.833333333,0.009353388,0.018807317,0.014266133,0.018965412,0.005929161,0.000965124,0.002439548,0.002120757,0.000940294,0.001437352,60.09079414,-94.99794209,1950,6,JJA,0.052011901,0.872492305,1.035456457,-1.609909779,-0.95539123,0.468588934,-1.148817081,-1.692525396,0.4596547,-2.772097848,1.195366367,0,0.9999999998695692,2,Type 2 (Later-entry storms)
997.8236159,13.04678547,464.3866362,61.18313212,0.0,0.8,0.009353388,0.018806312,0.014255913,0.018964533,0.005929161,0.000887639,0.0023895,0.002075854,0.001267128,0.001397633,46.07721663,-106.2542095,1950,6,JJA,0.052011901,0.872492305,1.035456457,-1.609909779,-0.95539123,0.468588934,-1.148817081,-1.692525396,0.4596547,-2.772097848,1.195366367,0,0.9999999996932551,2,Type 2 (Later-entry storms)
981.1685197,26.23814684,1123.874289,118.424206,0.102564103,0.307692308,0.015466604,0.020569255,0.008898206,0.014624279,0.010863938,-0.000530081,-0.002797467,-0.002749831,-0.004353547,-0.001640628,59.98890259,-124.2300118,1950,6,JJA,0.052011901,0.872492305,1.035456457,-1.609909779,-0.95539123,0.468588934,-1.148817081,-1.692525396,0.4596547,-2.772097848,1.195366367,1,0.9952573390438758,1,Type 1 (Earlier-entry storms)
994.5107208,11.27885357,463.7435896,110.4341852,0.076923077,0.461538462,0.010063404,0.005079015,0.002216512,0.004247025,0.0005556,-4.62e-05,0.000368902,-0.001266086,0.00123614,-0.000183448,60.13128614,-104.7214409,1950,6,JJA,0.052011901,0.872492305,1.035456457,-1.609909779,-0.95539123,0.468588934,-1.148817081,-1.692525396,0.4596547,-2.772097848,1.195366367,0,0.9813605061924942,2,Type 2 (Later-entry storms)
987.958881,23.47361125,820.1393651,104.2609696,0.222222222,0.0,0.016150015,0.005273223,0.00373894,0.001659082,0.001190672,0.001138325,0.002596465,0.000188195,0.001835748,0.000808576,48.57205626,-93.32924353,1950,6,JJA,0.052011901,0.872492305,1.035456457,-1.609909779,-0.95539123,0.468588934,-1.148817081,-1.692525396,0.4596547,-2.772097848,1.195366367,1,0.999385711002039,1,Type 1 (Earlier-entry storms)
997.3904511,11.06198351,440.6461512,95.01698165,0.6,0.4,0.003850756,0.001582542,0.003213371,0.000101787,0.000941097,0.001956544,0.00309356,0.002122785,0.002466803,0.000446624,50.74835371,-99.21547739,1950,6,JJA,0.052011901,0.872492305,1.035456457,-1.609909779,-0.95539123,0.468588934,-1.148817081,-1.692525396,0.4596547,-2.772097848,1.195366367,0,0.9999996487067038,2,Type 2 (Later-entry storms)
